movie_id,primary_title,original_title,start_year,runtime_minutes,genres,imdb_rating,imdb_votes,bom_title,studio,domestic_gross,foreign_gross,year_only,total_gross,primary_name,primary_profession,person_id,join_title,join_year,tmdb_rating,tmdb_votes,popularity,production_budget,main_genre,production_budget_imputed
tt0315642,Wazir,Wazir,2016.0,103.0,"Action,Crime,Drama",7.1,15378.0,Wazir,Relbig.,1100000.0,0.0,2016.0,1100000.0,Bejoy Nambiar,"producer,writer,director",nm2349060,wazir,2016,6.6,63.0,3.881,,Action,477223.4273318872
tt0337692,On the Road,On the Road,2012.0,124.0,"Adventure,Drama,Romance",6.1,37886.0,On the Road,IFC,744000.0,8000000.0,2012.0,8744000.0,Walter Salles,"director,producer,writer",nm0758574,on the road,2012,5.6,518.0,8.919,,Adventure,3257824.1430700445
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013.0,114.0,"Adventure,Comedy,Drama",7.3,275300.0,The Secret Life of Walter Mitty,Fox,58200000.0,129900000.0,2013.0,188100000.0,Ben Stiller,"producer,actor,director",nm0001774,the secret life of walter mitty,2013,7.1,4859.0,10.743,91000000.0,Adventure,91000000.0
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014.0,114.0,"Action,Crime,Drama",6.5,105116.0,A Walk Among the Tombstones,Uni.,26300000.0,26900000.0,2014.0,53200000.0,Scott Frank,"writer,producer,director",nm0291082,a walk among the tombstones,2014,6.3,1685.0,19.373,28000000.0,Action,28000000.0
tt0369610,Jurassic World,Jurassic World,2015.0,124.0,"Action,Adventure,Sci-Fi",7.0,539338.0,Jurassic World,Uni.,652300000.0,1019.4,2015.0,652301019.4,Colin Trevorrow,"writer,producer,director",nm1119880,jurassic world,2015,6.6,14056.0,20.709,215000000.0,Action,215000000.0
tt0376136,The Rum Diary,The Rum Diary,2011.0,119.0,"Comedy,Drama",6.2,94787.0,The Rum Diary,FD,13100000.0,10800000.0,2011.0,23900000.0,Bruce Robinson,"actor,writer,director",nm0732430,the rum diary,2011,5.7,652.0,12.011,45000000.0,Comedy,45000000.0
tt0376479,American Pastoral,American Pastoral,2016.0,108.0,"Crime,Drama",6.1,12898.0,American Pastoral,LGF,544000.0,0.0,2016.0,544000.0,Ewan McGregor,"actor,writer,soundtrack",nm0000191,american pastoral,2016,6.0,339.0,7.782,,Crime,290133.3333333333
tt0383010,The Three Stooges,The Three Stooges,2012.0,92.0,"Comedy,Family",5.1,28570.0,The Three Stooges,Fox,44300000.0,10500000.0,2012.0,54800000.0,"Bobby Farrelly, Peter Farrelly","producer,writer,director","nm0268370, nm0268380",the three stooges,2012,5.1,215.0,9.358,30000000.0,Comedy,30000000.0
tt0398286,Tangled,Tangled,2010.0,100.0,"Adventure,Animation,Comedy",7.8,366366.0,Tangled,BV,200800000.0,391000000.0,2010.0,591800000.0,"Byron Howard, Nathan Greno","actor,art_department,director, animation_department,director,actor","nm0397174, nm1977355",tangled,2010,7.5,6407.0,21.511,260000000.0,Adventure,260000000.0
tt0401729,John Carter,John Carter,2012.0,132.0,"Action,Adventure,Sci-Fi",6.6,241792.0,John Carter,BV,73100000.0,211100000.0,2012.0,284200000.0,Andrew Stanton,"writer,actor,producer",nm0004056,john carter,2012,6.1,3338.0,18.549,275000000.0,Action,275000000.0
tt0409847,Cowboys & Aliens,Cowboys & Aliens,2011.0,119.0,"Action,Sci-Fi,Thriller",6.0,195889.0,Cowboys & Aliens,Uni.,100200000.0,74600000.0,2011.0,174800000.0,Jon Favreau,"producer,actor,miscellaneous",nm0269463,cowboys & aliens,2011,5.5,3110.0,16.293,,Action,75835140.9978308
tt0420293,The Stanford Prison Experiment,The Stanford Prison Experiment,2015.0,122.0,"Biography,Drama,History",6.9,32591.0,The Stanford Prison Experiment,IFC,661000.0,0.0,2015.0,661000.0,Kyle Patrick Alvarez,"producer,director,writer",nm1547859,the stanford prison experiment,2015,6.9,548.0,8.239,,Biography,353568.68919300794
tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010.0,114.0,Comedy,5.9,91546.0,Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010.0,86800000.0,Jay Roach,"producer,director,writer",nm0005366,dinner for schmucks,2010,5.6,920.0,6.632,69000000.0,Comedy,69000000.0
tt0429493,The A-Team,The A-Team,2010.0,117.0,"Action,Adventure,Thriller",6.8,235256.0,The A-Team,Fox,77200000.0,100000000.0,2010.0,177200000.0,Joe Carnahan,"producer,writer,director",nm0138620,the a-team,2010,6.3,2703.0,17.097,110000000.0,Action,110000000.0
tt0431021,The Possession,The Possession,2012.0,92.0,"Horror,Mystery,Thriller",5.9,53649.0,The Possession,LGF,49100000.0,36300000.0,2012.0,85400000.0,Ole Bornedal,"writer,director,producer",nm0097079,the possession,2012,5.9,918.0,8.978,14000000.0,Horror,14000000.0
tt0433035,Real Steel,Real Steel,2011.0,127.0,"Action,Drama,Family",7.1,283534.0,Real Steel,BV,85500000.0,213800000.0,2011.0,299300000.0,Shawn Levy,"producer,director,actor",nm0506613,real steel,2011,6.8,4566.0,14.811,110000000.0,Action,110000000.0
tt0435651,The Giver,The Giver,2014.0,97.0,"Drama,Romance,Sci-Fi",6.5,104999.0,The Giver,Wein.,45100000.0,21900000.0,2014.0,67000000.0,Phillip Noyce,"producer,director,writer",nm0637518,the giver,2014,6.5,3075.0,8.687,25000000.0,Drama,25000000.0
tt0435761,Toy Story 3,Toy Story 3,2010.0,103.0,"Adventure,Animation,Comedy",8.3,682218.0,Toy Story 3,BV,415000000.0,652000000.0,2010.0,1067000000.0,Lee Unkrich,"editorial_department,editor,miscellaneous",nm0881279,toy story 3,2010,7.7,8340.0,24.445,200000000.0,Adventure,200000000.0
tt0443272,Lincoln,Lincoln,2012.0,150.0,"Biography,Drama,History",7.4,228701.0,Lincoln,BV,182200000.0,93100000.0,2012.0,275300000.0,Steven Spielberg,"producer,writer,director",nm0000229,lincoln,2012,6.8,2261.0,12.693,65000000.0,Biography,65000000.0
tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010.0,112.0,"Action,Comedy,Fantasy",7.5,339338.0,Scott Pilgrim vs. the World,Uni.,31500000.0,16100000.0,2010.0,47600000.0,Edgar Wright,"director,writer,actor",nm0942367,scott pilgrim vs. the world,2010,7.3,3882.0,14.383,85000000.0,Action,85000000.0
tt0448694,Puss in Boots,Puss in Boots,2011.0,90.0,"Action,Adventure,Animation",6.6,133355.0,Puss in Boots,P/DW,149300000.0,405700000.0,2011.0,555000000.0,Chris Miller,"actor,animation_department,director",nm3735491,puss in boots,2011,6.3,1422.0,9.078,130000000.0,Action,130000000.0
tt0451279,Wonder Woman,Wonder Woman,2017.0,141.0,"Action,Adventure,Fantasy",7.5,487527.0,Wonder Woman,WB,412600000.0,409300000.0,2017.0,821900000.0,Patty Jenkins,"director,writer,producer",nm0420941,wonder woman,2017,7.3,12566.0,31.618,150000000.0,Action,150000000.0
tt0454876,Life of Pi,Life of Pi,2012.0,127.0,"Adventure,Drama,Fantasy",7.9,535836.0,Life of Pi,Fox,125000000.0,484000000.0,2012.0,609000000.0,Ang Lee,"director,producer,writer",nm0000487,life of pi,2012,7.3,8723.0,15.0,120000000.0,Adventure,120000000.0
tt0455323,Being Flynn,Being Flynn,2012.0,102.0,Drama,6.4,15780.0,Being Flynn,Focus,540000.0,0.0,2012.0,540000.0,Paul Weitz,"producer,writer,director",nm0919369,being flynn,2012,6.2,128.0,7.293,,Drama,213406.09966949344
tt0455407,The Crazies,The Crazies,2010.0,101.0,"Horror,Thriller",6.5,104465.0,The Crazies,Over.,39100000.0,15700000.0,2010.0,54800000.0,Breck Eisner,"director,producer,actor",nm0252135,the crazies,2010,6.2,1036.0,12.246,19000000.0,Horror,19000000.0
tt0455944,The Equalizer,The Equalizer,2014.0,132.0,"Action,Crime,Thriller",7.2,302302.0,The Equalizer,Sony,101500000.0,90800000.0,2014.0,192300000.0,Antoine Fuqua,"director,producer,actor",nm0298807,the equalizer,2014,7.2,4989.0,28.942,55000000.0,Action,55000000.0
tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011.0,124.0,"Action,Adventure,Sci-Fi",6.9,668137.0,Captain America: The First Avenger,Par.,176700000.0,193900000.0,2011.0,370600000.0,Joe Johnston,"director,visual_effects,producer",nm0002653,captain america: the first avenger,2011,6.9,12810.0,25.808,140000000.0,Action,140000000.0
tt0458413,A Long Way Down,A Long Way Down,2014.0,96.0,"Comedy,Drama",6.4,29260.0,A Long Way Down,Magn.,13300.0,7200000.0,2014.0,7213300.0,Pascal Chaumeil,"director,assistant_director,writer",nm0154312,a long way down,2014,6.2,529.0,6.762,,Comedy,2746547.094188377
tt0460890,The Only Living Boy in New York,The Only Living Boy in New York,2017.0,89.0,Drama,6.3,8727.0,The Only Living Boy in New York,RAtt.,624000.0,1900000.0,2017.0,2524000.0,Marc Webb,"producer,director,writer",nm1989536,the only living boy in new york,2017,6.2,116.0,8.328,,Drama,997475.9177144471
tt0461336,Saving Private Perez,Salvando al Soldado Pérez,2011.0,105.0,"Adventure,Comedy,Western",6.0,1727.0,Saving Private Perez,LGF,1400000.0,7900000.0,2011.0,9300000.0,Beto Gómez,"writer,director,producer",nm0351021,saving private perez,2011,,,,,Adventure,3464977.645305514
tt0464154,Piranha 3D,Piranha 3D,2010.0,88.0,"Comedy,Horror",5.4,81327.0,Piranha 3D,W/Dim.,25000000.0,58200000.0,2010.0,83200000.0,Alexandre Aja,"producer,director,writer",nm0014960,piranha 3d,2010,5.3,1029.0,11.302,24000000.0,Comedy,24000000.0
tt0466893,Margaret,Margaret,2011.0,150.0,Drama,6.5,14708.0,Margaret,FoxS,46500.0,0.0,2011.0,46500.0,Kenneth Lonergan,"writer,actor,director",nm0518836,margaret,2011,6.3,138.0,8.747,14000000.0,Drama,14000000.0
tt0471042,Tower Heist,Tower Heist,2011.0,104.0,"Action,Comedy,Crime",6.2,125102.0,Tower Heist,Uni.,78000000.0,74900000.0,2011.0,152900000.0,Brett Ratner,"producer,director,actor",nm0711840,tower heist,2011,6.0,1592.0,12.213,85000000.0,Action,85000000.0
