id,release_date,movie,production_budget,domestic_gross,worldwide_gross
1,2009-12-18,Avatar,,,
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,,,
3,2019-06-07,Dark Phoenix,,,
4,2015-05-01,Avengers: Age of Ultron,,,
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,,,
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,,,
7,2018-04-27,Avengers: Infinity War,,,
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,,,
9,2017-11-17,Justice League,,,
10,2015-11-06,Spectre,,,
11,2012-07-20,The Dark Knight Rises,,,
12,2018-05-25,Solo: A Star Wars Story,,,
13,2013-07-02,The Lone Ranger,,,
14,2012-03-09,John Carter,,,
15,2010-11-24,Tangled,,,
16,2007-05-04,Spider-Man 3,,,
17,2016-05-06,Captain America: Civil War,,,
18,2016-03-25,Batman v Superman: Dawn of Justice,,,
19,2012-12-14,The Hobbit: An Unexpected Journey,,,
20,2009-07-15,Harry Potter and the Half-Blood Prince,,,
21,2013-12-13,The Hobbit: The Desolation of Smaug,,,
22,2014-12-17,The Hobbit: The Battle of the Five Armies,,,
23,2017-04-14,The Fate of the Furious,,,
24,2006-06-28,Superman Returns,,,
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,,,
26,2008-11-14,Quantum of Solace,,,
27,2012-05-04,The Avengers,,,
28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,,,
29,2013-06-14,Man of Steel,,,
30,2008-05-16,The Chronicles of Narnia: Prince Caspian,,,
31,2012-07-03,The Amazing Spider-Man,,,
32,2012-05-18,Battleship,,,
33,2017-06-21,Transformers: The Last Knight,,,
34,2015-06-12,Jurassic World,,,
35,2012-05-25,Men in Black 3,,,
36,2009-06-24,Transformers: Revenge of the Fallen,,,
37,2014-06-27,Transformers: Age of Extinction,,,
38,2006-05-26,X-Men: The Last Stand,,,
39,2010-05-14,Robin Hood,,,
40,2005-12-14,King Kong,,,
41,2007-12-07,The Golden Compass,,,
42,2018-02-16,Black Panther,,,
43,1997-12-19,Titanic,,,
44,2018-06-15,Incredibles 2,,,
45,2016-12-16,Rogue One: A Star Wars Story,,,
46,2016-06-17,Finding Dory,,,
47,2010-06-18,Toy Story 3,,,
48,2013-05-03,Iron Man 3,,,
49,2017-05-05,Guardians of the Galaxy Vol 2,,,
50,2004-06-30,Spider-Man 2,,,
51,2010-03-05,Alice in Wonderland,,,
52,2012-11-08,Skyfall,,,
53,2013-06-21,Monsters University,,,
54,2013-03-08,Oz the Great and Powerful,,,
55,2014-05-23,X-Men: Days of Future Past,,,
56,2014-05-02,The Amazing Spider-Man 2,,,
57,2011-06-24,Cars 2,,,
58,2010-12-17,Tron: Legacy,,,
59,2009-11-13,2012,,,
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,,,
61,2009-05-21,Terminator Salvation,,,
62,2011-06-17,Green Lantern,,,
63,2010-05-28,Prince of Persia: Sands of Time,,,
64,2011-06-29,Transformers: Dark of the Moon,,,
65,2017-06-09,The Mummy,,,
66,2013-03-01,Jack the Giant Slayer,,,
67,2015-04-03,Furious 7,,,
68,2013-05-16,Star Trek Into Darkness,,,
69,2013-06-21,World War Z,,,
70,2013-05-10,The Great Gatsby,,,
71,2009-11-06,Disneyâs A Christmas Carol,,,
72,2013-07-12,Pacific Rim,,,
73,2015-11-25,The Good Dinosaur,,,
74,2008-05-02,Iron Man,,,
75,2008-07-18,The Dark Knight,,,
76,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,,,
77,2012-06-22,Brave,,,
78,2017-03-10,Kong: Skull Island,,,
79,2016-07-22,Star Trek Beyond,,,
80,2017-10-06,Blade Runner 2049,,,
81,2019-05-24,Aladdin,,,
82,2017-11-03,Thor: Ragnarok,,,
83,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,,
84,2014-05-30,Maleficent,,,
85,2016-11-18,Fantastic Beasts and Where to Find Them,,,
86,2008-06-27,WALL-E,,,
87,2007-08-10,Rush Hour 3,,,
88,2016-07-01,The Legend of Tarzan,,,
89,2011-11-23,Hugo,,,
90,2017-07-21,Valerian and the City of a Thousand Planets,,,
91,2015-02-06,Jupiter Ascending,,,
92,2018-07-27,Mission: ImpossibleâFallout,,,
93,2016-05-27,X-Men: Apocalypse,,,
94,2018-08-10,The Meg,,,
95,2014-06-06,Edge of Tomorrow,,,
96,2019-03-08,Captain Marvel,,,
97,2016-04-15,The Jungle Book,,,
98,2015-06-19,Inside Out,,,
99,2017-07-07,Spider-Man: Homecoming,,,
100,2016-08-05,Suicide Squad,,,
1,2009-05-29,Up,,,
2,2017-11-22,Coco,,,
3,2018-11-21,Ralph Breaks The Internet,,,
4,2009-03-27,Monsters vs. Aliens,,,
5,2017-06-16,Cars 3,,,
6,2009-08-07,G.I. Joe: The Rise of Cobra,,,
7,1999-06-30,Wild Wild West,,,
8,2008-08-01,The Mummy: Tomb of the Dragon Emperor,,,
9,2007-06-22,Evan Almighty,,,
10,1995-07-28,Waterworld,,,
